running histogram
number of data points: 36868368
average: 0.699237
0.000000-1.000000: 0.176528
1.000000-2.000000: 0.116684
2.000000-3.000000: 0.078820
3.000000-4.000000: 0.054201
4.000000-5.000000: 0.037753
5.000000-6.000000: 0.026463
6.000000-7.000000: 0.018752
7.000000-8.000000: 0.013257
8.000000-9.000000: 0.009514
9.000000-10.000000: 0.006833
10.000000-11.000000: 0.004929
11.000000-12.000000: 0.003587
