running histogram
number of data points: 417551678
average: 3.198194
0.000000-1.000000: 0.123180
1.000000-2.000000: 0.119615
2.000000-3.000000: 0.110903
3.000000-4.000000: 0.100169
4.000000-5.000000: 0.088719
5.000000-6.000000: 0.077197
6.000000-7.000000: 0.066006
7.000000-8.000000: 0.055482
8.000000-9.000000: 0.045587
9.000000-10.000000: 0.036289
10.000000-11.000000: 0.027315
11.000000-12.000000: 0.018006
